Genes	Enzyme1\mzML/TrypLysC_FracA_120min_HCD_OTOT.mzML	Enzyme1\mzML/TrypLysC_FracB_120minLC_HCD_OTOT.mzML	Enzyme1\mzML/TrypLysC_FracC_120minLC_HCD_OTOT.mzML
A1BG	1.30543e+06	2.53973e+06	5.98655e+06
A2M	8.52993e+08	1.5554e+09	3.47955e+09
A2M;PZP	1.14144e+08	1.15374e+08	9.96348e+08
ADIPOQ		3.26905e+06	2.05245e+06
AFM	2.63065e+06	7.06276e+06	1.66637e+07
AGRN	1.24689e+07	3.09462e+06	1.6556e+06
AGT	2.9611e+07	5.62965e+06	2.61085e+07
AHSG		2.97635e+06	1.14444e+07
ALB	4.06369e+09	1.91539e+09	3.85284e+09
AMBP	8.43458e+06	3.81422e+07	2.80101e+07
APCS	1.99888e+07	4.69803e+07	6.66107e+07
APOA1	2.31129e+08	2.75694e+08	1.45761e+09
APOA2	3.97615e+07	1.09451e+08	1.43093e+08
APOA4	1.5412e+07	2.28026e+07	9.05689e+07
APOB	5.99671e+07	9.51404e+07	2.45769e+08
APOC1	1.01969e+08	7.2219e+06	1.02855e+07
APOD	8.68974e+06	1.00497e+07	9.4668e+07
APOE	1.42647e+08	1.8242e+08	9.72462e+07
APOH	2.82881e+07	4.06571e+07	1.0343e+08
APOL1	1.57127e+08	3.4501e+07	4.57273e+06
APOM	4.14215e+06	1.62474e+07	7.68519e+06
ATRN	2.70945e+06	6.49208e+06	2.15439e+07
AZGP1	1.9798e+07	5.25377e+07	4.78989e+07
C1QA	1.30845e+07	2.31319e+07	3.34185e+08
C1QB	6.14258e+06	6.57719e+06	6.4564e+07
C1QC	2.06045e+07	2.14335e+07	2.62079e+08
C1R	3.11443e+07	2.54674e+07	1.29735e+08
C1S	1.16515e+08	1.13242e+08	1.12734e+08
C2	4.7873e+06	8.63972e+06	4.18738e+06
C3	4.45724e+08	7.42423e+08	1.79886e+09
C4A	2.39088e+07	6.48648e+07	9.0409e+07
C4A;C4B	2.73877e+08	3.45065e+08	9.26512e+08
C4B	8.53844e+06	2.50573e+07	5.51155e+07
C4BPA	9.32497e+07	1.29136e+08	1.5038e+08
C4BPB	2.32764e+07	1.84617e+07	2.93695e+07
C5	7.8933e+07	1.02563e+08	3.51272e+08
C6	8.28516e+06	9.83512e+06	5.02656e+07
C7	3.03279e+07	4.63609e+07	1.0658e+07
C8A	2.80087e+07	1.62569e+07	8.14457e+07
C8B	3.07793e+06	1.97671e+07	1.91313e+07
C9	2.13441e+07	3.82683e+07	1.42035e+08
CD163	2.06623e+06	1.56194e+06	3.26231e+06
CD5L	1.59238e+08	4.7102e+07	2.02681e+08
CFB	4.78952e+07	7.61715e+07	3.98956e+08
CFH	3.84224e+07	1.20992e+08	1.03089e+08
CFI	5.4847e+06	1.79248e+07	9.77338e+06
CFP		2.27963e+06	7.20062e+06
CLU	6.65752e+07	5.87376e+07	9.48976e+07
COL6A1	3.86708e+07	3.0297e+06	430940
COL6A2	3.73734e+07	5.03024e+06	2.47869e+06
COL6A3	1.01387e+07	7.53805e+06	1.85651e+07
CP	2.06774e+08	4.00826e+08	5.10983e+08
CPB2		2.55631e+06	4.10369e+06
CPN1	6.63506e+07	1.24956e+07	4.26124e+06
CPN2	2.00744e+06	2.4932e+07	1.48595e+07
CRP	1.65075e+07	2.62331e+07	1.67405e+08
EFEMP1	7.02164e+06	838974	6.89789e+06
F12	1.35672e+07	1.31059e+07	4.71976e+06
F2	2.79252e+07	2.00559e+07	2.28417e+07
FBLN1	8.57237e+06	2.04734e+07	5.878e+06
FCGBP	1.77568e+07	8.19975e+06	1.71455e+07
FCN2	1.31995e+07	1.95826e+06	1.10582e+07
FCN3	3.23763e+06	3.54508e+06	1.75166e+07
FGA	2.47233e+08	5.5089e+08	1.44611e+09
FGB	2.29194e+09	4.36729e+09	6.60827e+09
FGG	6.19796e+08	8.4107e+08	5.24329e+09
FN1	3.84702e+07	7.29611e+07	2.26826e+08
GAPDH	3.51256e+06	1.6764e+06	
GC	7.0065e+07	3.05645e+07	1.76419e+08
GSN	1.46526e+07	1.626e+07	3.09916e+07
H4C1	1.72984e+08	5.31502e+06	4.72011e+07
HABP2	2.54749e+06	4.34365e+06	1.49586e+07
HP	8.73719e+08	1.73925e+09	4.60807e+09
HPX	1.95138e+07	3.61555e+07	1.91353e+08
HRG	9.95681e+06	2.37328e+06	8.21147e+06
HSPG2	2.00647e+06	3.28608e+06	3.60552e+06
IGHA1	2.17371e+08	4.82398e+08	1.17602e+09
IGHG2	2.27895e+08	4.486e+08	1.61167e+09
IGHG2;IGHG3	3.03656e+07	5.70816e+07	5.68314e+08
IGHG2;IGHG3;IGHG4	8.81183e+08	3.8658e+09	4.65706e+09
IGHG2;IGHG4	5.68015e+06	2.73107e+07	3.23815e+08
IGHG3	3.84779e+08	1.06701e+09	2.9745e+09
IGHG4	3.64775e+07	5.90346e+07	1.86306e+08
IGHM	1.12643e+09	1.63761e+09	2.84748e+09
IGHV1-3	1.11293e+07	4.19784e+06	992189
IGHV1-58	967696	501205	759242
IGHV2-5	2.08452e+06	9.89054e+06	2.71715e+06
IGHV2-70;IGHV2-70D	1.32437e+06	4.74552e+06	357825
IGHV3-15	4.68962e+07	7.0111e+07	3.52954e+07
IGHV3-43		8.16255e+06	1.08545e+07
IGHV3-49;IGHV3-73	7.10449e+06	2.43131e+07	1.39503e+07
IGHV3-64D	734597	6.894e+06	1.3559e+07
IGHV4-28	1.63095e+07	2.44528e+07	2.02069e+07
IGHV4-34;IGHV4-4			1.31925e+06
IGHV5-51	2.28005e+07	1.72323e+07	1.55679e+07
IGKV2-30	3.16353e+07	9.44254e+06	1.06998e+08
IGKV3-20;IGKV3D-20		1.86793e+07	1.90418e+06
IGKV4-1	3.23767e+07	3.04308e+06	3.401e+06
IGLV1-47		280384	757148
IGLV1-51	7.17585e+06	1.85286e+07	5.06228e+07
IGLV2-8	1.66275e+07	2.37764e+07	2.4657e+07
IGLV3-19	1.08515e+07	4.55115e+07	7.59722e+07
IGLV3-21	2.62934e+06	1.02662e+06	9.09068e+06
IGLV3-27	1.43562e+07	6.59669e+07	1.52148e+07
IGLV4-60	4.20161e+06	7.45529e+06	964129
IGLV4-69	1.14216e+07	2.38121e+07	3.62183e+06
IGLV6-57		406854	1.67354e+06
IGLV7-46	1.21136e+06	3.21102e+06	8.17742e+06
ITIH1	2.19066e+07	5.09167e+07	1.157e+08
ITIH2	1.92602e+07	3.77707e+07	8.2195e+07
ITIH3	2.64035e+06	2.08435e+06	4.40717e+06
ITIH4	2.02339e+07	2.48316e+07	1.20913e+08
JCHAIN	7.42001e+08	3.77215e+08	1.79485e+09
KLKB1	9.69005e+06	1.85001e+07	1.61026e+07
KNG1	4.55093e+07	6.13048e+07	1.06368e+08
KRT1	9.4557e+07	7.96124e+07	5.15869e+07
KRT10	1.60455e+07	3.72425e+07	3.68638e+07
KRT10;KRT9	1.47804e+06	574422	1.53164e+07
KRT1;KRT2	1.09786e+07	1.46109e+07	2.95957e+07
KRT2	1.5636e+07	1.60169e+07	1.3752e+07
KRT9	5.7337e+06	1.13679e+07	1.08437e+07
LDHA	2.05779e+07	1.50733e+07	1.33649e+06
LGALS3BP	4.37364e+07	6.47337e+07	1.45421e+08
LRP1	3.02983e+06	3.52781e+06	2.43837e+06
LYZ	3.49608e+06	3.66215e+06	478488
MASP1	5.65821e+06	1.55496e+06	1.0292e+07
MASP2		196449	2.09941e+06
MBL2	1.47801e+07	7.41223e+06	2.73688e+06
ORM1		1.76001e+07	1.35161e+08
ORM2		2.89424e+06	3.18265e+07
PIGR	3.1397e+06	2.91154e+06	1.09454e+07
