Genes	Enzyme1\mzML/TrypLysC_FracA_120min_HCD_OTOT.mzML	Enzyme1\mzML/TrypLysC_FracB_120minLC_HCD_OTOT.mzML	Enzyme1\mzML/TrypLysC_FracC_120minLC_HCD_OTOT.mzML
A1BG		3.38747e+06	6.1304e+06
A2M	1.13561e+09	1.62847e+09	2.60995e+09
A2M;PZP	1.30149e+08	1.05651e+08	9.27581e+08
ABCB9			1.78334e+07
ACTB;ACTG1	9.66557e+07	9.23021e+06	3.43066e+07
ACTBL2	9.27861e+06		2.51423e+06
ACTN4			501061
ACTR2		548111	349204
ADA2			77366.2
ADAM10			54063.8
ADAMTS13			99248.5
ADARB1			2.52111e+07
ADIPOQ		2.56673e+06	1.73745e+06
AEBP1		406457	385145
AFM	8.43269e+06	7.89693e+06	4.07623e+06
AGRN	1.2606e+07	2.5976e+06	1.30277e+06
AGT	8.72636e+06	9.53736e+06	4.96707e+07
AHCY			240858
AHNAK		902928	59287
AHSG		2.55626e+06	1.20331e+07
ALB	3.17169e+09	1.70112e+09	4.04922e+09
ALDH16A1		251384	586299
ALDOA	778247	507720	1.58137e+06
ALDOB			281783
ALPL	2.48253e+06	1.45386e+06	621524
AMBP	1.65252e+07	3.56456e+07	2.31454e+07
ANG			271187
ANGPTL4			111441
ANPEP	2.34426e+06	491222	262606
ANXA1		2.98324e+06	1.26092e+06
ANXA11			269610
ANXA2	4.2455e+06	1.68626e+06	399182
ANXA3			86340
ANXA4			176276
ANXA5	2.16404e+06	167084	449988
ANXA7		182851	
AOX1		588002	853895
APCS	1.77778e+07	1.31077e+07	7.37584e+07
APMAP			746201
APOA1	3.4114e+08	3.52636e+08	1.42441e+09
APOA2	7.94775e+07	8.93903e+07	8.3148e+07
APOA4	1.9085e+07	2.55803e+07	5.8076e+07
APOB	6.37617e+07	9.12596e+07	2.13444e+08
APOC1	6.10241e+07	3.34802e+07	3.50101e+06
APOC2	3.46277e+06	1.48743e+07	2.12769e+07
APOC3		3.21055e+06	4.81509e+07
APOC4		1.10745e+06	432362
APOD	9.04728e+06	9.69977e+06	8.21112e+07
APOE	1.56817e+08	1.97477e+08	8.44382e+07
APOF	1.59208e+06	136931	650853
APOH	2.8492e+07	6.70308e+07	5.60138e+07
APOL1	9.04739e+07	3.06357e+07	6.72642e+06
APOM	1.02163e+07	1.70314e+07	1.54403e+07
ARF1;ARF3		1.07518e+06	
ARHGDIA			163878
ARPC1B			543985
ASS1	3.96481e+06	962437	1.47953e+06
ATP1A1		333393	308136
ATP5F1A	2.96037e+06		
ATRN	9.10346e+06	5.97042e+06	6.34409e+06
AZGP1	2.09825e+07	1.04615e+08	2.03595e+07
BAIAP3	3.34269e+06	5.05497e+06	
BCAM		1.40537e+06	215799
BCHE		1.29896e+06	1.58982e+06
BLMH			78694.4
BMP1		1.72272e+06	1.02096e+06
BST2		1.77548e+06	504153
BTD			1.07591e+06
C1QA	2.1066e+07	3.60301e+07	1.12941e+08
C1QB		3.36445e+06	4.33255e+07
C1QC	2.20467e+07	1.6875e+07	2.31972e+08
C1QTNF3		866193	1.17127e+06
C1R	1.79712e+07	1.27445e+07	6.77089e+07
C1R;C1RL	3.39613e+07	5.21142e+07	3.75011e+07
C1RL	1.6976e+06	1.46079e+06	726627
C1S	1.22306e+08	9.60773e+07	4.91754e+07
C1S;MASP1	3.20884e+08	2.638e+06	465001
C2	4.50618e+06	6.67273e+06	5.48346e+06
C3	4.54416e+08	7.09307e+08	1.66593e+09
C4A	3.86907e+07	5.57574e+07	6.41694e+07
C4A;C4B	3.00828e+08	3.5808e+08	6.83106e+08
C4B	1.2579e+07	2.15477e+07	4.13619e+07
C4BPA	6.71309e+07	1.04261e+08	2.20623e+08
C4BPB	5.24239e+07	1.84874e+07	2.09965e+07
C5	8.46044e+07	1.12034e+08	2.12055e+08
C6	1.01971e+07	9.34807e+06	3.82448e+07
C7	4.91908e+07	4.43543e+07	5.16426e+06
C8A	2.88978e+07	2.5527e+07	4.95339e+07
C8B	3.70324e+06	2.58893e+07	1.88551e+07
C8G	1.72336e+06	5.06432e+06	8.63995e+06
C9	2.98509e+07	3.48601e+07	1.0486e+08
CALR		110577	248807
CAMP		687449	1.81489e+06
CAPZB			363925
CAT		972389	2.62599e+06
CCDC13		1.72314e+06	2.31436e+07
CCDC80		453154	
CD109		539552	
CD14		2.1355e+06	2.68219e+06
CD163	2.38875e+06	3.22541e+06	1.38308e+06
CD47		995272	1.24797e+06
CD55		508197	
CD59			58041.6
CD5L	1.14423e+08	4.13332e+07	2.58248e+08
CD82	2.3389e+06		76983.6
CD9		248684	421562
CDC42	2.23209e+06		139442
CDH1		623072	656870
CDH5		62069.2	216811
CDH6			418209
CEMIP		402927	803289
CFB	6.07565e+07	7.97078e+07	3.30484e+08
CFH	3.31288e+07	7.06469e+07	2.04886e+08
CFH;CFHR1	3.99255e+07	5.2574e+07	4.62738e+06
CFH;CFHR1;CFHR2		7.05475e+06	1.77984e+06
CFH;CFHR3			500304
CFHR1	4.48169e+06	1.55646e+07	954423
CFHR1;CFHR2	2.76933e+06	2.9063e+06	5.62536e+06
CFHR1;CFHR5			1.41906e+07
CFHR2	2.0735e+06	815534	3.42514e+06
CFHR3	2.78e+06	6.15553e+06	894321
CFHR3;CFHR4	3.04112e+06	1.27691e+07	3.01021e+07
CFHR4			2.08272e+06
CFHR5	621826	2.73439e+06	7.6951e+06
CFI		2.3388e+07	1.13431e+07
CFL1	694080	139567	1.29604e+06
CFP		4.68623e+06	3.07836e+06
CHMP1B			217454
CHST9		5.89139e+06	8.94993e+06
CLDN3			392884
CLEC3B			1.16048e+06
CLIC1		561714	
CLIC4		281429	357844
CLTC	1.65493e+06		188287
CLU	7.85885e+07	5.78604e+07	9.29946e+07
CNDP1			139929
CNKSR2	3.89308e+08	1.00324e+08	
CNNM2;CNNM4	8.39147e+07	609506	
COL12A1		581403	280634
COL18A1		234270	1.06405e+06
COL1A1	908817	2.07559e+06	853482
COL1A2		1.00501e+06	1.17999e+06
COL3A1			1.1811e+06
COL5A1		810345	547981
COL6A1	2.20852e+07	2.21348e+06	394704
COL6A2	4.20273e+07	4.42244e+06	2.07911e+06
COL6A3	7.34439e+06	9.90806e+06	1.84348e+07
COLEC10		173782	57036.9
COMP		1.4404e+06	1.54805e+06
COMP;THBS4			4.52791e+06
CORO1A		307797	201662
COX6B1	2.54189e+06	5.42356e+06	463601
CP	2.07087e+08	3.93393e+08	4.26687e+08
CPB2	1.31425e+06	2.89595e+06	2.2052e+06
CPN1	1.08561e+07	8.97274e+06	3.47134e+07
CPN2	4.57993e+06	1.64636e+07	1.0538e+07
CRABP2			117693
CRIP2			266479
CRP	2.22438e+07	5.23549e+07	8.17123e+07
CSE1L		1.38029e+06	685769
CST3			147014
CTBS			431075
CTHRC1			219392
CTSB			199622
CTSK;CTSL;CTSL3P;CTSV			114742
DBH			1.63932e+06
DCD	1.55399e+07	3.61048e+06	
DDX10	1.13541e+06	1.30675e+06	132577
DDX5	408436		
DEFA1;DEFA3			5.05918e+06
DHX9			76622
DLG5	1.684e+07		103560
DLST	7.06292e+06		4.32527e+07
DMRT2		2.98972e+06	1.34552e+07
DNAAF1	1.78507e+09	6.23282e+06	2.06266e+06
DNPEP		933230	345365
DPP4		393341	616921
DPYSL3			685050
DSG2			914065
DSP			27304.2
ECH1			2.02097e+06
ECM1		5.05013e+06	4.60914e+06
EEF1A1;EEF1A1P5	1.27691e+07	134146	
EEF1G			53569.8
EEF2	4.2198e+06	2.407e+06	1.48139e+06
EFEMP1		1.08573e+06	8.07937e+06
EIF4A1;EIF4A2	1.75239e+06		
EMILIN1		334721	535910
EMILIN2	3.87856e+06	1.00808e+06	1.39651e+06
ENO1	4.74983e+06	1.72301e+06	672642
EZR	1.34317e+06	2.55325e+06	782812
F10		2.59953e+06	1.01703e+06
F11	3.88496e+06	5.70485e+06	4.75976e+06
F11;KLKB1		1.89648e+06	4.14664e+06
F12	2.92608e+07	8.01061e+06	4.66681e+06
F13A1	6.65232e+06		796581
F13B			673693
F2	2.36651e+07	2.07939e+07	2.43895e+07
F5		1.61369e+06	995626
F9		1.22727e+06	1.6978e+06
FBLN1	1.48137e+08	3.96969e+06	852607
FBN1		668846	528356
FCGBP	1.98313e+07	7.95069e+06	1.5152e+07
FCGR3A;FCGR3B		1.46013e+06	1.55885e+06
FCN1	318997	1.14658e+06	1.00485e+06
FCN2	7.81934e+06	3.12343e+06	5.56429e+06
FCN3	2.37795e+06	2.56586e+06	3.13525e+07
FERMT3			155934
FETUB		1.1331e+06	705800
FGA	5.66117e+08	4.58435e+08	7.70791e+08
FGB	2.24677e+09	4.20028e+09	6.19626e+09
FGG	1.26651e+09	1.7075e+09	6.3978e+09
FGL1			93821.3
FGL2	2.98043e+06	104967	324505
FLNA		924388	466982
FN1	4.15831e+07	8.14047e+07	1.91582e+08
FSCN1		680980	635938
FSTL1	250768		
FTH1	3.94765e+06		483590
FTL	1.14117e+07	2.82122e+06	433949
FUCA2			263665
GANAB		1.03946e+06	1.19992e+06
GAPDH	7.4507e+06	859016	713604
GC	1.00462e+08	3.40428e+07	1.22126e+08
GNAI2			674426
GNB4		396875	864262
GPI	1.01698e+06		260442
GPLD1		655467	1.59185e+06
GPX3		408304	2.68284e+06
GRIP1			2.7892e+06
GRN			653479
GSN	1.84017e+07	1.99847e+07	2.38029e+07
GSTO1			592097
H1-4	2.24705e+06		772412
H1-4;H1-5		205692	
H2AC25;H2AC4;H2AC7	2.84066e+06	503169	47998.8
H2AC25;H2AC4;H2AC7;H2AZ1;H2AZ2	3.23031e+07	1.12906e+06	2.19076e+06
H2AZ1;H2AZ2		543580	109352
H2BC12;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	7.72108e+07	1.85779e+07	2.21735e+06
H3-3A;H3-4;H3C1;H3C15	1.54325e+07	2.75068e+07	1.51406e+06
H3-7			1.09872e+07
H4C1	4.13029e+07	1.63119e+07	2.26212e+07
H6PD		21403.3	605866
HABP2	2.72581e+06	3.08223e+06	1.46742e+07
HBA1	4.51631e+06		497455
HBB		2.22331e+06	7.44378e+06
HEXB		1.10141e+06	163021
HGFAC		1.61972e+06	710004
HLA-A		967809	
HLA-B;HLA-C		1.96001e+06	
HLA-DPB1;HLA-DRB1		182538	214151
HNRNPA2B1	4.53518e+06		32419.5
HNRNPK		903415	
HP	7.25778e+08	1.23747e+09	1.68179e+09
HP;HPR	8.41161e+07	1.79748e+08	4.00133e+08
HPR	1.51768e+07	5.70046e+07	4.8843e+06
HPX	1.95651e+07	4.5508e+07	1.25386e+08
HRG	530285	2.78892e+06	2.6464e+07
HRNR		339358	849563
HSP90AA1		1.54721e+06	649019
HSP90AA1;HSP90AB1	5.9177e+06	1.35681e+06	738512
HSP90AB1	2.74684e+06	1.3721e+06	1.09391e+06
HSP90AB1;HSP90B1	1.06352e+06		1.07279e+06
HSP90B1			489296
HSPA13	4.51145e+06	8.76421e+06	1.14047e+06
HSPA5		575063	722283
HSPA5;HSPA8		92138	196916
HSPA6;HSPA7	1.18615e+06	1.69452e+06	1.41555e+06
HSPA8	5.0833e+06	1.88326e+06	1.57549e+06
HSPE1	8.33533e+06		
HSPG2	1.1305e+06	2.64084e+06	3.69315e+06
HTRA1		941980	743083
ICAM1			664711
IDH1			714412
IFITM1;IFITM2;IFITM3			113526
IGF2			2.7448e+06
IGF2R		833437	223150
IGFALS		1.9717e+06	1.18126e+07
IGFBP2		1.9676e+06	222366
IGFBP3		153468	
IGFBP6		480744	
IGHA1	8.57904e+07	5.3447e+07	8.49151e+08
IGHA1;IGHA2	7.93561e+07	5.71527e+08	2.77466e+08
IGHA2			1.72412e+07
IGHD		6.40199e+06	8.11066e+06
IGHG1	3.28477e+08	1.33141e+08	1.10542e+07
IGHG1;IGHG2;IGHG3	3.65025e+07	7.14499e+07	7.28932e+08
IGHG1;IGHG2;IGHG3;IGHG4	8.96153e+08	3.76124e+09	3.2893e+09
IGHG1;IGHG3	6.95339e+08	9.90385e+08	2.55648e+09
IGHG2	2.43831e+08	3.55479e+08	1.42635e+09
IGHG2;IGHG3	1.5504e+07		1.22457e+08
IGHG2;IGHG3;IGHG4	3.85832e+06	1.06808e+07	2.18663e+07
IGHG2;IGHG4	7.181e+06	3.09601e+07	3.10549e+08
