Genes	Enzyme2\mzML/Thermolysin_FracA_120minLC_HCD_OTOT.mzML	Enzyme2\mzML/Thermolysin_FracB_120minLC_HCD_OTOT.mzML	Enzyme2\mzML/Thermolysin_FracC_120minLC_HCD_OTOT.mzML
A1BG	1.66232e+07	3.81316e+07	8.93845e+06
A2M	4.17602e+08	3.1245e+08	2.11021e+08
A2M;PZP	6.04418e+06	3.60116e+06	1.5894e+07
ACTBL2	1.27204e+07	1.49936e+07	1.47744e+06
ADIPOQ	6.67984e+06	2.43004e+06	220886
AFM	9.23615e+06	1.54892e+06	787234
AGRN		617693	139487
AGT	9.70303e+06	5.4026e+06	307862
AHNAK2			2.38152e+06
AHSG		4.38049e+06	561571
ALB	1.71403e+09	1.19336e+09	5.64444e+08
ALDOA		1.35597e+06	
AMBP	1.03648e+06	6.5047e+07	3.68231e+06
APCS		2.71501e+06	3.50456e+06
APOA1	6.65167e+07	2.11941e+08	3.78557e+07
APOA2	1.76498e+07	5.20184e+06	616701
APOA4	1.91285e+07	8.01293e+06	890309
APOB	2.75164e+07	4.00991e+07	3.06858e+07
APOC1	1.38706e+06	650732	8.06051e+06
APOC3	1.87803e+06	3.4044e+06	398396
APOD	3.58813e+06	9.68157e+06	1.26813e+07
APOE	4.40272e+06	1.17792e+07	
APOH	1.10121e+07	2.07008e+07	7.37713e+06
APOL1	3.80985e+06	1.66008e+06	1.57717e+06
APOM		1.39438e+06	2.7634e+06
ATRN	1.69147e+07	4.13901e+06	1.72788e+06
AZGP1	3.87875e+06	4.89074e+06	1.1404e+07
C1QA	1.36029e+07	2.1623e+07	1.68498e+07
C1QB	1.08987e+07	439839	3.57352e+06
C1QB;C1QC			7.08039e+06
C1QC	1.90622e+07	1.18598e+07	1.28976e+08
C1R	1.33924e+07	1.74401e+07	3.5273e+07
C1S	5.46278e+07	4.17426e+07	3.70243e+07
C2		1.02819e+06	6.31132e+06
C3	3.50863e+08	1.15912e+08	9.18245e+07
C4A		7.4142e+06	1.84625e+07
C4A;C4B	3.4764e+08	1.74979e+08	1.7724e+08
C4B	3.60269e+06		1.39657e+07
C4BPA	6.23812e+07	1.01028e+08	5.39096e+07
C4BPB	7.06752e+06	1.73983e+06	1.14387e+06
C5	1.86945e+07	1.42647e+07	6.46469e+06
C6	1.45952e+07	4.16706e+06	859434
C7	2.34172e+07	6.68081e+06	4.85076e+06
C8A		6.98474e+06	7.21491e+06
C8B	1.28323e+07	3.02967e+06	3.79224e+06
C8G			921553
C9	6.35746e+06	5.23128e+06	2.92325e+06
CD14		1.12501e+06	457745
CD5L	9.03131e+07	7.85617e+07	2.29131e+07
CD9			179001
CEMIP		130178	1.00349e+07
CFB	2.30152e+07	1.23945e+07	1.20746e+07
CFH	2.65594e+07	1.82509e+07	5.8285e+06
CFH;CFHR1		1.2041e+07	7.49824e+06
CFH;CFHR3			1.83124e+06
CFHR1	1.30111e+07	1.28745e+06	1.06922e+07
CFHR1;CFHR5	1.48763e+07		
CFHR3	596617	721818	1.4933e+07
CFHR5	3.29832e+06	85084.7	
CFI		936455	281827
CFP	680301	671322	923002
CLU	1.57521e+07	4.20413e+07	1.91123e+07
COL3A1	4.31834e+06		3.62636e+06
COL5A1	2.93808e+07	2.52371e+06	3.59891e+06
COL6A1	1.78967e+06		3.16611e+06
COL6A2		1.17603e+06	300290
COL6A3	7.43217e+06	7.05534e+06	975068
CP	1.1092e+08	3.8342e+07	6.11915e+07
CPB2		3.49006e+06	2.05846e+06
CPN1	2.59329e+06	9.53499e+06	705066
CPN2	833836	1.16792e+07	1.41232e+07
CRP	6.29695e+06	9.53495e+06	1.05665e+07
EFEMP1		1.06311e+06	2.78399e+06
F11			1.32865e+06
F12	1.9982e+06	1.74597e+06	163489
F13B		569256	
F2	1.16582e+08	5.46134e+06	4.23497e+06
FBLN1	1.31892e+07	1.46541e+06	691444
FCGBP	4.20161e+06	3.9857e+06	3.31903e+06
FCN2	7.34714e+06	1.08476e+06	2.93629e+06
FCN3	6.97335e+06	1.35316e+07	1.6586e+07
FGA	8.45037e+07	1.17061e+08	4.74918e+07
FGB	4.04337e+08	4.06964e+08	1.81816e+08
FGG	5.00702e+08	6.54657e+08	6.75069e+08
FN1	5.79027e+07	5.60024e+07	5.35813e+07
FTL	8.93714e+06	919385	
GAPDH	925510	341265	645193
GC	1.40413e+07	4.11309e+06	2.78643e+06
