Genes	Enzyme2\mzML/Thermolysin_FracA_120minLC_HCD_OTOT.mzML	Enzyme2\mzML/Thermolysin_FracB_120minLC_HCD_OTOT.mzML	Enzyme2\mzML/Thermolysin_FracC_120minLC_HCD_OTOT.mzML
A1BG	1.94705e+07	3.95673e+07	9.29742e+06
A2M	4.12264e+08	2.58633e+08	1.75061e+08
A2M;PZP	6.45465e+07	2.10502e+06	4.423e+06
ACTB;ACTG1	9.7128e+06	9.10515e+06	1.56806e+07
AFM		888083	374632
AGRN		334509	129420
AGT	3.65625e+06	1.83149e+06	3.22604e+06
AHSG	1.81795e+07	4.7121e+06	
ALB	9.67707e+08	8.19312e+08	3.57368e+08
AMBP	3.89225e+06	295344	1.76017e+06
APC;APC2	9.43008e+07	3.79245e+07	2.48923e+06
APCS		3.07575e+06	2.92075e+06
APOA1	2.16846e+08	8.5398e+07	4.87183e+07
APOA2	4.23481e+07	2.54915e+06	247141
APOA4	1.18895e+07	1.88948e+07	
APOB	1.38765e+08	2.8065e+07	1.86037e+07
APOC1		672390	8.42631e+06
APOD	6.86509e+06	9.13742e+06	9.88908e+06
APOE	3.73792e+06	8.87149e+06	
APOH	1.1036e+07	2.1356e+07	6.07087e+06
APOL1		845570	1.3401e+06
APOM		1.37123e+06	2.83825e+06
ATRN	2.69708e+07	4.6483e+06	1.05487e+06
AZGP1	7.85727e+06	3.93195e+06	8.97297e+06
C1QA	1.83149e+07	2.43452e+07	1.74379e+07
C1QB			3.72748e+06
C1QB;C1QC			5.95609e+06
C1QC	2.00339e+07	9.4731e+06	8.97367e+07
C1R	3.94683e+07	1.34904e+07	1.66484e+07
C1S	1.1803e+08	4.50981e+07	2.29029e+07
C2		895126	1.38484e+06
C3	4.17482e+08	1.08751e+08	1.08242e+08
C4A		9.99894e+06	2.59756e+07
C4A;C4B	4.24023e+08	1.82499e+08	8.75608e+07
C4B			2.16599e+07
C4BPA	8.76151e+07	1.23614e+08	4.63179e+07
C4BPB	8.52682e+06	1.69163e+06	1.22744e+06
C5	1.14284e+07	1.76495e+07	1.2404e+07
C6	2.37477e+07	5.27453e+06	727770
C7	3.65831e+08	4.09175e+06	1.89034e+06
C8A		7.06973e+06	7.64999e+06
C8B	5.67828e+06	1.76551e+06	1.139e+07
C9	1.06618e+07	4.78407e+06	2.65211e+06
CD5L	1.26665e+08	7.66659e+07	1.96713e+07
CFB	1.29078e+07	5.38354e+06	1.26017e+07
CFH	1.83392e+08	1.15411e+07	3.53849e+06
CFHR1			1.1324e+07
CFHR1;CFHR2			1.08358e+07
CFHR3			1.31687e+07
CFI		1.10472e+06	223221
CFP		194879	297466
CLU	3.75567e+07	5.0245e+07	1.14857e+07
COL11A2			608609
COL6A2		490325	222555
COL6A3		4.49249e+06	565639
CP	1.66622e+08	2.76906e+07	5.61514e+07
CPB2		2.36179e+06	1.63951e+06
CPN1		4.12913e+06	
CPN2		6.8326e+06	2.51473e+07
CPSF3		926034	590844
CRP		9.25418e+06	1.14632e+07
EFEMP1		231826	4.45377e+06
F13A1	1.23723e+07		
F2	1.33609e+08	6.17807e+06	3.50618e+06
FAM184B	1.57743e+08	2.03376e+08	1.13643e+08
FBLN1	1.47827e+07	1.18819e+06	2.63147e+06
FCGBP	2.96011e+06	2.93927e+06	4.14587e+06
FCN2		2.48465e+06	1.21507e+06
FCN3	1.62777e+07	7.74271e+06	1.83937e+07
FGA	1.4111e+08	1.06339e+08	4.8478e+07
FGB	5.551e+08	3.9164e+08	1.39496e+08
FGG	5.47584e+08	6.81519e+08	7.37661e+08
FN1	9.78317e+07	5.13053e+07	3.77806e+07
FTL	1.1016e+07		
GAPDH	929656	254241	1.29331e+06
GC	1.63667e+07	4.59136e+06	2.50823e+06
GSN		283511	5.14062e+06
HABP2	3.4093e+06	1.03826e+06	281462
HCFC1		670587	358742
HP	2.74275e+08	2.19526e+07	2.07754e+08
HP;HPR	1.0061e+09	7.79721e+08	3.6467e+09
HPR	8.52497e+06	1.37513e+06	1.11108e+07
HPX	5.67491e+07	3.45999e+07	2.04522e+07
HRG	1.58956e+07	2.51438e+07	5.16969e+06
HSPG2		308440	328715
IGFBP3		248911	
IGHA1	1.26686e+08	2.11555e+08	2.83869e+07
IGHA1;IGHA2	1.03728e+09	5.10683e+08	4.00108e+08
IGHA2	8.38171e+06	678563	
IGHG1	1.54314e+08	4.41437e+07	3.65566e+07
IGHG1;IGHG2			7.91999e+06
IGHG1;IGHG2;IGHG3		3.75469e+06	3.23179e+07
IGHG1;IGHG2;IGHG3;IGHG4	4.54844e+08	1.16419e+09	8.31772e+08
IGHG1;IGHG3		8.5385e+06	1.39164e+06
IGHG1;IGHG4	5.65745e+07	8.75881e+06	4.67637e+07
IGHG2	2.20685e+06		1.23373e+07
IGHG2;IGHG3	9.04792e+07	1.48883e+07	8.59479e+07
IGHG2;IGHG4	4.12232e+07	5.22827e+06	
IGHG3	2.18284e+07	2.3531e+07	5.52136e+07
IGHG4	2.05017e+07	1.52172e+07	2.23268e+07
IGHM	4.0224e+08	1.80446e+08	4.0659e+08
IGHV1-2			400986
IGHV1-24	3.10751e+06		
IGHV1-3	2.3455e+06	2.22259e+06	
IGHV1-58		3.4843e+06	
IGHV2-5	9.46481e+06	3.59458e+06	185311
IGHV3-15	2.21952e+07	1.65724e+07	1.2633e+07
IGHV3-15;IGHV3-43;IGHV3-49;IGHV3-53;IGHV3-64D	1.73777e+08	1.82452e+08	3.84604e+07
IGHV3-15;IGHV3-49;IGHV3-64D;IGHV3-73	9.25194e+08	7.67826e+07	6.78198e+06
IGHV3-43	5.68693e+07	3.30112e+06	
IGHV3-49	1.4768e+07	2.25558e+06	1.14956e+06
IGHV3-53	4.84068e+07	8.17488e+06	2.26263e+07
IGHV3-53;IGHV3-64D		8.20761e+06	825689
IGHV3-64D;IGHV3-73	7.67055e+08	6.43123e+08	2.6552e+08
IGHV4-28;IGHV4-31;IGHV4-4	3.64613e+08	1.24973e+08	1.32893e+07
IGHV4-30-2;IGHV4-31;IGHV6-1		9.18072e+06	1.47081e+07
IGHV4-31;IGHV4-34	4.64219e+07	3.52238e+07	8.75889e+06
IGHV4-34			8.15184e+06
IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61		6.09923e+07	1.38178e+07
IGHV4-4		3.38875e+06	5.87748e+06
IGHV5-51	1.38028e+07	3.20142e+06	4.25013e+06
IGHV6-1	1.74267e+07	4.08242e+06	1.97642e+06
IGKC	1.03606e+09	4.9772e+08	1.9301e+08
IGKJ1	8.55494e+07	1.34855e+08	1.89683e+07
IGKV1-16		7.43433e+06	5.96304e+06
IGKV1-16;IGKV2-30;IGKV3-20;IGKV3D-20;IGKV4-1	2.33044e+06	6.66083e+06	1.08008e+07
IGKV1-33;IGKV1D-33	5.35079e+06	1.95251e+07	1.51696e+07
IGKV1-5	9.38205e+07	2.23379e+08	5.88524e+07
IGKV1-5;IGKV1-9	3.42916e+07	539151	
IGKV1-9	2.84046e+08	3.78658e+08	6.83083e+08
IGKV2-24			9.06333e+06
IGKV2-28;IGKV2-40;IGKV2D-28;IGKV2D-40	2.18459e+08	9.92853e+07	4.75595e+08
IGKV2-30	5.40655e+07	7.3959e+07	1.89385e+07
IGKV2D-29			2.05288e+07
IGKV3-15;IGKV3D-15		1.69554e+07	9.52863e+06
IGKV3-20	1.70721e+08	1.47555e+08	6.14758e+07
IGKV3-20;IGKV3D-20	9.74505e+06	1.61476e+07	1.30725e+06
IGKV4-1	4.4295e+06	7.18638e+06	486765
IGLC2;IGLC3	5.96634e+06	5.32871e+06	9.88223e+06
IGLL5	2.4306e+08	2.02028e+08	1.11301e+08
IGLV1-47	1.57115e+07	5.35429e+07	2.49132e+07
IGLV1-47;IGLV1-51	8.37393e+06	409904	
IGLV1-47;IGLV1-51;IGLV3-21		1.41021e+08	2.94415e+08
IGLV1-51;IGLV3-1;IGLV3-21		1.81639e+06	9.59724e+06
IGLV2-18	1.50837e+09	7.31683e+07	6.69677e+06
IGLV2-8	7.00611e+06	4.64501e+06	2.79359e+07
IGLV3-1	2.97866e+07	2.71109e+06	1.76325e+06
IGLV3-1;IGLV3-27	9.23245e+07	1.14595e+08	1.92435e+07
IGLV3-21	1.12171e+07	485303	2.55765e+06
IGLV3-27	1.92074e+07	2.8375e+06	870739
IGLV4-69		4.0263e+06	1.50007e+06
IGLV6-57	2.5945e+07	2.07225e+06	396472
IGLV7-46		1.13449e+07	6.82218e+06
ITIH1	3.32491e+06	3.26273e+06	4.22427e+06
ITIH2		1.03768e+07	4.83001e+06
ITIH3		1.90499e+06	3.81008e+06
